Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Point-Forward,40,34:51,7,15.2,0.457,2,5,0.399,5.9,6.8,0.874,0.6,5.2,5.8,3.4,1,0.3,2,1.7,21.8,16.4,3.6,Selected
Center,44,34:35,9.4,20.8,0.449,1.7,4.7,0.365,7.5,9.7,0.773,2,8.2,10.2,4.4,1.5,1.4,3.4,3.6,28,20.8,0,Selected
Center,47,32:01,4.9,7.1,0.69,0,0,0,2.7,5.3,0.514,3.7,10.3,14,1.1,0.6,1.8,1.5,2.7,12.5,14.1,4.8,Selected
Center,45,34:17,7.5,16.2,0.464,1.4,3.6,0.395,4.1,5,0.825,0.8,5.3,6.1,4.2,1,1.4,2.1,2.2,20.6,16,1.1,Selected
Point-Forward,44,33:21,3.8,8.6,0.448,1.1,3.3,0.322,1.9,2.9,0.667,1.6,6.9,8.5,7.5,1.9,1.4,2.3,3,10.7,13.7,11,Selected
Guard,44,34:31,7.4,17.6,0.422,1.9,5.1,0.373,3.9,4.6,0.837,0.5,2.2,2.7,3.1,0.9,0.2,2.8,3.2,20.6,11.2,-2.5,Not selected
Forward,47,27:45,4.5,10.3,0.438,1.1,3.6,0.304,1.4,2.3,0.618,1.3,3.4,4.7,2,0.8,0.4,1.1,2.1,11.6,8.3,-2.5,Not selected
Guard,42,21:53,4,10.3,0.394,0.9,2.6,0.349,2.9,3.4,0.858,0.5,1.9,2.4,2.4,0.6,0,1.7,1.8,11.9,7,-6.2,Not selected
Guard,38,19:10,2.6,6.8,0.376,1.4,3.5,0.394,1.6,1.8,0.868,0.4,2.1,2.5,2.5,1.2,0.3,1.4,1.7,8,6.2,4.3,Not selected
Guard,21,28:55,3,8.8,0.337,2.4,6.6,0.362,0.3,0.4,0.778,0.4,1.8,2.2,1.2,1.2,0.4,0.7,2.2,8.6,5.2,5.2,Not selected
Guard,36,33:01,6.1,13.7,0.443,1.7,4.8,0.358,3.2,3.8,0.826,0.6,2.5,3.1,3.3,1,0.1,2.1,2.7,17,11,-2.5,Not selected
Center,38,26:54,4.2,7.2,0.59,0,0,,2.4,3.5,0.689,2.3,4.2,6.5,1.4,0.7,1.1,1.2,3.2,10.9,10,4.7,Not selected
Center,47,27:54,4.4,8.3,0.534,0,0.1,0,2.2,4.1,0.55,2,5.7,7.7,4.2,0.9,1.2,1.6,2.7,11,11.5,0.1,Not selected
Guard,43,35:24,5.1,12.9,0.394,2.9,7.5,0.386,1.9,2.4,0.798,0.2,3,3.2,2.2,1.2,0.2,1.4,2.1,15,9.5,-3.9,Not selected
Center,46,24:28,2.3,4.5,0.524,0,0,,1.6,3.2,0.49,2.1,5.6,7.7,1,0.3,1.3,1.3,2.3,6.3,6.3,-3.7,Not selected
Forward,44,27:07,4,10.2,0.388,1.2,3.7,0.317,1.6,2.3,0.71,0.6,2.6,3.2,2.7,1.3,0.6,1.6,2.3,10.8,7.1,-1.4,Not selected
Forward,46,30:22,4.6,10.7,0.427,2.7,6.7,0.405,1.9,2.1,0.896,1.6,3.4,5,0.9,0.5,0.2,0.9,2,13.7,9.8,5.5,Not selected
Center,46,21:51,5.7,10.2,0.564,0.1,0.7,0.161,3,3.8,0.795,2.6,4.1,6.7,1,0.4,0.7,1.6,2.2,14.6,11.7,1,Not selected
Forward,40,22:07,3.6,6.6,0.557,0,0.1,0,2.2,3.2,0.688,3,4.8,7.8,0.9,0.7,0.8,1,2.1,9.5,9.6,-1.6,Not selected
Forward,44,19:55,2.5,4.6,0.537,0.3,0.8,0.353,1,1.4,0.694,1.7,2.9,4.6,1.8,0.6,0.7,0.9,2.7,6.2,6.1,0.9,Not selected
Guard,37,29:18,5.2,12.5,0.418,2.1,5.8,0.357,1.5,2,0.747,0.3,3.4,3.7,2,0.6,0.2,1.2,2.3,14,8.3,4.6,Not selected
